title,description,identifier,licence,keywords,issued,modified,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,updateFrequency,theme,temporal,spatial,distribution.0.downloadURL,distribution.0.title,distribution.0.description,distribution.0.format,distribution.0.size,distribution.1.downloadURL,distribution.1.title,distribution.1.description,distribution.1.format,distribution.1.size,distribution.2.downloadURL,distribution.2.title,distribution.2.description,distribution.2.format,distribution.2.size,distribution.3.downloadURL,distribution.3.title,distribution.3.description,distribution.3.format,distribution.3.size,distribution.4.downloadURL,distribution.4.title,distribution4.description,distribution.4.format,distribution.4.size,distribution.5.downloadURL,distribution.5.title,distribution.5.format,distribution.5.size,distribution.6.downloadURL,distribution.6.title,distribution.6.format,distribution.6.size,distribution.7.downloadURL,distribution.7.title,distribution.7.format,distribution.7.size,distribution.8.downloadURL,distribution.8.title,distribution.8.format,distribution.8.size,Available as bulk data download,Can be open,What is required to open,Estimate date of release
Screen Industry Survey,"These releases provide information on businesses involved in the screen industry, including production and post production activities, film and video distribution, film exhibition, and television broadcasting. ",,https://creativecommons.org/licenses/by/4.0,"Business, Economy, Employment and unemployment, Industries",31-08-2006,10-04-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Screen%20industry%2CInformation%20releases,Annual,"Arts, Culture and Heritage",2004/2017,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/d5b98a1e-27ab-4792-8bd9-75d3f3493f44,Metadata,,,,https://www.stats.govt.nz/assets/Uploads/Screen-industry/Screen-industry-2016-17/Download-data/screen-industry-2016-17-tables.xlsx,2016/17 dataset,,XLS,311KB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serious injury outcome indicators,"Serious injury outcome indicators shows trends in fatal, serious non-fatal, and serious (fatal and non-fatal) injuries for the whole population, M?ori, and children (aged under 15 years).",https://www.stats.govt.nz/publications?filters=Serious%20injury%20outcome%20indicators%2CInformation%20releases,https://creativecommons.org/licenses/by/4.0,"Children, Employment and unemployment, Health, Injuries, Maori, Society",2000,01-10-2018,Statistics NZ,info@stats.govt.nz,Injury Data team,0508 525 525,Injury&Crimedata-SharedMailbox@stats.govt.nz.,https://www.stats.govt.nz/publications?filters=Serious%20injury%20outcome%20indicators%2CInformation%20releases,Annual,Health,1994/2017,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/ed2d795c-dd2e-457d-97ea-4249fcef2a93,Metadata,,,,"https://www.stats.govt.nz/assets/Uploads/Serious-injury-outcome-indicators/Serious-injury-outcome-indicators-2000-17/Download-data/serious-injury-outcome-indicators-2000-17-csv.zip
",2000-17 dataset,,ZIP,68KB,http://nzdotstat.stats.govt.nz/wbos/Index.aspx?DataSetCode=TABLECODE7935,Dataset using NZ.Stats online tool,"Count of fatal and serious non-fatal injuries by sex, age group, ethnicity, cause, and severity of injury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics NZ Annual Report (Financial Statements),"The financial statements in this report include an audit of a number of financial areas. These include the statement of financial position, statement of commitments, statement of contingent liabilities and contingent assets, the statement of comprehensive revenue and expense, statement of changes in equity, and statement of cash flows for the year ended on that date and the notes to the financial statements that include accounting policies and other explanatory information.",,https://creativecommons.org/licenses/by/4.0,"Annual Report, Financial Statement",,16-10-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/about-us/corporate-publications,Annual,State sector performance,2004/2018,,https://www.stats.govt.nz/assets/Uploads/Annual-report-2018/Stats-NZ-Annual-Report-Full-WEB-1.pdf,Year ended 30 June 2018,,,,http://archive.stats.govt.nz/about_us/what-we-do/our-publications/annual-reports.aspx,Annual reports 2004-17,,PDF,4.7MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,
Statistics NZ submissions and advice to the Governance and Administration Select Committee (formerly known as Government and Administration Select Committee),"The Governance and Administration Select Comittee provide written advice in response to public submissons by the committees' offical advisers. Documents of interest relating to Statistics New Zealand include Quarterly Reports to the Minister, Statistics New Zealand's Reponse to Annual Review Questions.

",,https://creativecommons.org/licenses/by/4.0,,,,Select Committee Office   ,select.committees@parliament.govt.nz  ,Select Committee Office   ,64 4 817 9520,,https://www.parliament.nz/en/pb/sc/submissions-and-advice/?criteria.Keyword=Statistics&criteria.Author=Government+Administration+Committee&criteria.ParliamentNumber=-1&criteria.Timeframe=&criteria.DateFrom=&criteria.DateTo=,,State sector performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,
Statistics NZ's Chief Executive Business Expense Disclosure,This documents business expenses and gifts incurred by the Government Statistician as Chief Executive for each financial year,,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/about-us/corporate-publications,Annual,State sector performance,,,https://www.stats.govt.nz/assets/Uploads/Chief-executive-expenses-1-July-2017-30-June-2018.xlsx,Business expense disclosure,for 1 July 2017- 30 June 2018 period,XLS,69KB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subnational Ethnic Population Projections,"Subnational ethnic population projections indicate the future population living in New Zealand's 16 regional council areas (regions), 67 territorial authority areas (TAs), and 21 Auckland local board areas (LBAs) for four broad and overlapping ethnic groups: 'European or Other (including New Zealander)', M?ori, Asian, and Pacific.",,https://creativecommons.org/licenses/by/4.0,"Ethnic, Subnational, Population, Maori, Pacific, Asian, European, European or Other, New Zealander, European or other, M?ori",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Subnational%20ethnic%20population%20projections%2CInformation%20releases,Triennial,Population and society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subnational Family and Household Projections,"These releases provide a summary of the projected number of families and households in New Zealand, by family type and household type, based on different combinations of fertility, mortality, migration, and living arrangement assumptions.",,https://creativecommons.org/licenses/by/4.0,"Population, Families, Households, Family, Household",08-12-2015,08-12-2017,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Subnational%20family%20and%20household%20projections%2CInformation%20releases,,Population and society,2013/2038,,,,,,,,,,XLSX,84KB,https://www.stats.govt.nz/assets/Uploads/Subnational-family-and-household-projections/snfhhp2013baseadditionaltables.xls,2013(base)-2038 - additional tables,,XLSX,275KB,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/66f72de1-9a1c-436f-b82e-7e079fffc2ab,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,No,,,
Subnational Period of Life Tables,These subnational period life tables indicate life expectancy and the mortality and survival experience at selected ages for male and female populations in different areas of New Zealand (eg regional council and territorial authority areas). They are typically derived every five years for a three-year period centred on a census year,,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Subnational%20period%20life%20tables%2CInformation%20releases,Quinquennial,Population and society,,,https://www.stats.govt.nz/assets/Uploads/Subnational-family-and-household-projections/Subnational-family-and-household-projections-2013base-update/Download-data/subnational-family-and-households-projections-13-38-update-tables.xlsx,Metadata,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/728b04b1-c460-4729-a311-b02f1117795b,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subnational Population Estimates,"These provide population estimates in the 16 regional council areas (regions), 67 territorial authority areas, and 21 Auckland local board areas (LBAs) of New Zealand. This includes quarterly and annual changes in the resident population, and estimated population numbers for selected age groups.",,https://creativecommons.org/licenses/by/4.0,"Births, Deaths, International migration, Internal migration, Population, Subnational, Regional Council, Territoral Authority, Area Unit, Urban Area,  age group,  population change,  population growth,  regional council areas,  territorial authority areas, estimated resident population",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Subnational%20population%20estimates%2CInformation%20releases,Annual,Population and society,,,https://www.stats.govt.nz/assets/Uploads/Subnational-family-and-household-projections/Subnational-family-and-household-projections-2013base-update/Download-data/subnational-family-and-households-projections-13-38-update-tables.xlsx,Metadata,,XLSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subnational Population Projections,"Subnational population projections give an indication of the future population usually living in the 16 regional council areas (regions), 67 territorial authority areas, and 21 Auckland local board areas (LBAs) of New Zealand. Three projections (low, medium, and high growth) incorporating different fertility, mortality, and migration assumptions for each geographic area have been produced to illustrate a range of possible scenarios.",,https://creativecommons.org/licenses/by/4.0,"Population, Subnational, Regional council areas, Territorial authority areas, Auckland local board areas, Area Units,  Births,  Deaths,  Migration,  Mortality,  Regional Council,  Territorial Authority, Fertility",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Subnational%20population%20projections%2CInformation%20releases,Irregular,Population and society,,,,,,,,,,,,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/6e81f19e-484f-4aae-9afe-635962e62988,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hedging of Overseas Foreign Currency Liabilities Survey,The Hedging of Overseas Foreign Currency Liabilities Survey is a supplement of the Quarterly International Investment Survey (QIIS ). It asks for risk management information about respondent's foreign currency overseas liabilities.,,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,,Annual,,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/SubnationalPopulationEstimates/HOTPAtJun16/snpe-at30jun16-all-tables.xlsx,,,,,,,,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tourism Satellite Account,"These releases provide a picture of the role tourism plays in New Zealand, including the changing levels and impact of tourism activity, and the industry's contribution to the economy",,https://creativecommons.org/licenses/by/4.0,"GST,  Domestic,  Economics,  Expenditure,  Export,  Foreign Exchange,  Imports,  International, Tourism Value",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Tourism%20satellite%20account%2CInformation%20releases,Annual,Population and society,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/SubnationalPopulationProjections/HOTP2013base/SubnationalPopulationProjections2013baseHOTP.pdf,Metadata,,PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transport Vehicle Registration,"Transport vehicle registrations record motor vehicles currently licensed by type, and new and ex-overseas motor vehicles registered by type.",,https://creativecommons.org/licenses/by/4.0,"Economy, Industries, Transport",,20-02-2019,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Transport%20vehicle%20registrations%2CInformation%20releases,Monthly,Transport,1998/2018,,www.stats.govt.nz/infoshare,Infoshare online tool,"Select Subject category: Industry sectors , and select Group: Transport - TPT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of Building Work Put in Place,These releases provide estimates of the actual dollar value of work put in place on construction jobs in New Zealand. It measures activity within the construction sector. ,,https://creativecommons.org/licenses/by/4.0,"Accommodation, Additions, Alterations, Commercial, Construction, Educational, Factories, Hospitals, Industrial Buildings, New Dwellings, Nursing Homes, Out Buildings, Residential, Seasonally Adjusted, Trend",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Value%20of%20building%20work%20put%20in%20place%2CInformation%20releases,Quarterly,"Building, construction and housing",,,http://www.stats.govt.nz/~/media/Statistics/browse-categories/industry-sectors/tourism/tourism-sattellite-account-2016/tsa-16-prov-year-tables-1-16.xlsx,Metadata,,XLSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well-being Statistics,"Well-being statistics provide information on a wide range of social and economic outcomes, and how these outcomes are distributed across different groups within the New Zealand population aged 15 years and over.",,https://creativecommons.org/licenses/by/4.0,"Archives New Zealand, Economic, Population, Social, Well-being",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Well-being%20statistics%2CInformation%20releases,Biennial,Population and society,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wholesale Trade Survey,"Wholesale Trade statistics measure the sale or resale of new or used goods to retailers, including businesses or institutional users (including government). They provide short-term economic indicators for the wholesale trade sector.",,https://creativecommons.org/licenses/by/4.0,"Commerce, Trade, Wholesale Trade, exports, open government, trade and industry",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Wholesale%20trade%20survey%2CInformation%20releases,Quarterly,"Commerce, trade and industry",,,https://www.stats.govt.nz/assets/Uploads/Value-of-building-work-put-in-place/Value-of-building-work-put-in-place-March-2018-quarter/Download-data/value-of-building-work-put-in-place-march-2018-quarter.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing Net Worth Statistics,"Household net worth statistics give a picture of the net worth (wealth) of New Zealanders, by looking at their household assets - financial and non-financial - and their liabilities.",,https://creativecommons.org/licenses/by/4.0,"Economy, Ethnicity, Gender and sex, Households, Maori, Older people, Society",,14-12-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,,https://www.stats.govt.nz/publications?filters=Household%20net%20worth%20statistics%2CInformation%20releases,Irregular,,2015/2017,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/f98d411f-4903-477a-b7ce-ffc70e85b378,Metadata,,,,https://www.stats.govt.nz/assets/Uploads/Household-net-worth-statistics/Household-net-worth-statistics-Year-ended-June-2018/Download-data/household-net-worth-statistics-year-ended-june-2018-csv.zip,Year ended 30 June 2018,,ZIP,98KB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,
